date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:05:46	53036/53036	---M-Z	200	added ('OK')	text/html	etag:%22cf2c-+4VrU3jQqzfByR2SLfAOl9Y7z7Y%22	https://www.richardmille.com/dispatch/the-brand	C:/Users/Ramod/Desktop/Scripts/RM/www.richardmille.com/dispatch/the-brand.html	(from )
18:05:47	22/22	---M--	200	added ('OK')	text/plain	etag:W/%2216-1727b45ee00%22	https://www.richardmille.com/robots.txt		(from )
18:05:48	218468/218468	---M--	200	added ('OK')	image/jpeg	etag:W/%2235564-1727b45ee00%22	https://www.richardmille.com/meta-image.jpg	C:/Users/Ramod/Desktop/Scripts/RM/www.richardmille.com/meta-image.jpg	(from https://www.richardmille.com/dispatch/the-brand)
18:05:49	1795/1795	---M--	200	added ('OK')	image/png	etag:W/%22703-1727b45ee00%22	https://www.richardmille.com/apple-icon-57x57.png	C:/Users/Ramod/Desktop/Scripts/RM/www.richardmille.com/apple-icon-57x57.png	(from https://www.richardmille.com/dispatch/the-brand)
18:05:50	1800/1800	---M--	200	added ('OK')	image/png	etag:W/%22708-1727b45ee00%22	https://www.richardmille.com/apple-icon-60x60.png	C:/Users/Ramod/Desktop/Scripts/RM/www.richardmille.com/apple-icon-60x60.png	(from https://www.richardmille.com/dispatch/the-brand)
18:05:50	2026/2026	---M--	200	added ('OK')	image/png	etag:W/%227ea-1727b45ee00%22	https://www.richardmille.com/apple-icon-72x72.png	C:/Users/Ramod/Desktop/Scripts/RM/www.richardmille.com/apple-icon-72x72.png	(from https://www.richardmille.com/dispatch/the-brand)
18:05:51	2055/2055	---M--	200	added ('OK')	image/png	etag:W/%22807-1727b45ee00%22	https://www.richardmille.com/apple-icon-76x76.png	C:/Users/Ramod/Desktop/Scripts/RM/www.richardmille.com/apple-icon-76x76.png	(from https://www.richardmille.com/dispatch/the-brand)
18:05:52	2622/2622	---M--	200	added ('OK')	image/png	etag:W/%22a3e-1727b45ee00%22	https://www.richardmille.com/apple-icon-114x114.png	C:/Users/Ramod/Desktop/Scripts/RM/www.richardmille.com/apple-icon-114x114.png	(from https://www.richardmille.com/dispatch/the-brand)
18:05:53	2683/2683	---M--	200	added ('OK')	image/png	etag:W/%22a7b-1727b45ee00%22	https://www.richardmille.com/apple-icon-120x120.png	C:/Users/Ramod/Desktop/Scripts/RM/www.richardmille.com/apple-icon-120x120.png	(from https://www.richardmille.com/dispatch/the-brand)
18:05:53	3112/3112	---M--	200	added ('OK')	image/png	etag:W/%22c28-1727b45ee00%22	https://www.richardmille.com/apple-icon-144x144.png	C:/Users/Ramod/Desktop/Scripts/RM/www.richardmille.com/apple-icon-144x144.png	(from https://www.richardmille.com/dispatch/the-brand)
18:05:54	3287/3287	---M--	200	added ('OK')	image/png	etag:W/%22cd7-1727b45ee00%22	https://www.richardmille.com/apple-icon-152x152.png	C:/Users/Ramod/Desktop/Scripts/RM/www.richardmille.com/apple-icon-152x152.png	(from https://www.richardmille.com/dispatch/the-brand)
18:05:55	3880/3880	---M--	200	added ('OK')	image/png	etag:W/%22f28-1727b45ee00%22	https://www.richardmille.com/apple-icon-180x180.png	C:/Users/Ramod/Desktop/Scripts/RM/www.richardmille.com/apple-icon-180x180.png	(from https://www.richardmille.com/dispatch/the-brand)
18:05:55	222/222	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2003%20Jun%202020%2021:18:00%20GMT	https://cdn.polyfill.io/v2/polyfill.min.js?features=Object.entries	C:/Users/Ramod/Desktop/Scripts/RM/cdn.polyfill.io/v2/polyfill.min3819.js	(from https://www.richardmille.com/dispatch/the-brand)
18:05:55	267/267	---M--	302	error ('Found')	text/html	date:Fri,%2005%20Jun%202020%2001:05:55%20GMT	http://www.googletagmanager.com/gtm.js?id=GTM-KCF8226&l=dataLayer	C:/Users/Ramod/Desktop/Scripts/RM/www.googletagmanager.com/gtm.cf8cc.delayed	(from https://www.richardmille.com/dispatch/the-brand)
18:05:56	62069/62069	---MC-	200	added ('OK')	application/javascript	date:Fri,%2005%20Jun%202020%2000:00:00%20GMT	https://www.googletagmanager.com/gtm.js?id=GTM-KCF8226&l=dataLayer	C:/Users/Ramod/Desktop/Scripts/RM/www.googletagmanager.com/gtmf8cc.js	(from https://www.richardmille.com/dispatch/the-brand)
18:05:56	4566/4566	---M-Z	200	added ('OK')	application/javascript	etag:W/%2211d6-1727b46efd0%22	https://www.richardmille.com/_nuxt/20ac856ecc9b9ef2f93b.js	C:/Users/Ramod/Desktop/Scripts/RM/www.richardmille.com/_nuxt/20ac856ecc9b9ef2f93b.js	(from https://www.richardmille.com/dispatch/the-brand)
18:05:57	190371/190371	---M-Z	200	added ('OK')	application/javascript	etag:W/%222e7a3-1727b46efd0%22	https://www.richardmille.com/_nuxt/94e426960029c43dde6a.js	C:/Users/Ramod/Desktop/Scripts/RM/www.richardmille.com/_nuxt/94e426960029c43dde6a.js	(from https://www.richardmille.com/dispatch/the-brand)
18:05:57	1486/1486	---M-Z	200	added ('OK')	text/css	etag:W/%225ce-1727b46efd0%22	https://www.richardmille.com/_nuxt/a3b313688f8919e3f849.css	C:/Users/Ramod/Desktop/Scripts/RM/www.richardmille.com/_nuxt/a3b313688f8919e3f849.css	(from https://www.richardmille.com/dispatch/the-brand)
18:05:59	915709/915709	---M-Z	200	added ('OK')	application/javascript	etag:W/%22df8fd-1727b46efd0%22	https://www.richardmille.com/_nuxt/bfa80d3455099c706cfb.js	C:/Users/Ramod/Desktop/Scripts/RM/www.richardmille.com/_nuxt/bfa80d3455099c706cfb.js	(from https://www.richardmille.com/dispatch/the-brand)
18:05:59	58976/58976	---M-Z	200	added ('OK')	text/css	etag:W/%22e660-1727b46efd0%22	https://www.richardmille.com/_nuxt/81113fe565cddb1efb4f.css	C:/Users/Ramod/Desktop/Scripts/RM/www.richardmille.com/_nuxt/81113fe565cddb1efb4f.css	(from https://www.richardmille.com/dispatch/the-brand)
18:06:00	114154/114154	---M-Z	200	added ('OK')	application/javascript	etag:W/%221bdea-1727b46efd0%22	https://www.richardmille.com/_nuxt/ab375376b3b62e3933c6.js	C:/Users/Ramod/Desktop/Scripts/RM/www.richardmille.com/_nuxt/ab375376b3b62e3933c6.js	(from https://www.richardmille.com/dispatch/the-brand)
18:06:00	5397/5397	---M-Z	200	added ('OK')	text/css	etag:W/%221515-1727b46efd0%22	https://www.richardmille.com/_nuxt/5225c978077de2e02ea5.css	C:/Users/Ramod/Desktop/Scripts/RM/www.richardmille.com/_nuxt/5225c978077de2e02ea5.css	(from https://www.richardmille.com/dispatch/the-brand)
18:06:01	4316/4316	---M-Z	200	added ('OK')	application/javascript	etag:W/%2210dc-1727b46efd0%22	https://www.richardmille.com/_nuxt/fc8440aeed1ae587b4de.js	C:/Users/Ramod/Desktop/Scripts/RM/www.richardmille.com/_nuxt/fc8440aeed1ae587b4de.js	(from https://www.richardmille.com/dispatch/the-brand)
18:06:02	54949/54949	---M-Z	200	added ('OK')	text/html	etag:%22d6a5-WYiEzg3VjWrS4HOVo4E8pNxyN3Y%22	https://www.richardmille.com/dispatch/savoir-faire	C:/Users/Ramod/Desktop/Scripts/RM/www.richardmille.com/dispatch/savoir-faire.html	(from https://www.richardmille.com/dispatch/the-brand)
18:06:03	323585/323585	---M--	200	added ('OK')	image/jpeg	etag:%220c031e961f7f9df0226673e845f9d386%22	https://media.richardmille.com/wp-content/uploads/2019/01/06150629/Richard-Moto-bn.jpg	C:/Users/Ramod/Desktop/Scripts/RM/media.richardmille.com/wp-content/uploads/2019/01/06150629/Richard-Moto-bn.jpg	(from https://www.richardmille.com/dispatch/the-brand)
18:06:06	154/154	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2005%20Jun%202020%2001:06:04%20GMT	http://radar.cedexis.com/1/13070/radar.js	C:/Users/Ramod/Desktop/Scripts/RM/radar.cedexis.com/1/13070/radar.1a.delayed	(from https://www.richardmille.com/dispatch/the-brand)
18:06:07	307202/307202	---M--	200	added ('OK')	image/jpeg	etag:%22ff02a678eab7b14c2161360f271fd168%22	https://media.richardmille.com/wp-content/uploads/2018/12/23172056/close-up-pusher-chrono.jpg	C:/Users/Ramod/Desktop/Scripts/RM/media.richardmille.com/wp-content/uploads/2018/12/23172056/close-up-pusher-chrono.jpg	(from https://www.richardmille.com/dispatch/the-brand)
18:06:09	44756/44756	---MCZ	200	added ('OK')	application/javascript	etag:W/%225daf22e2-aed4%22	http://radar.cedexis.com/1571758301/radar.js	C:/Users/Ramod/Desktop/Scripts/RM/radar.cedexis.com/1571758301/radar.js	(from https://www.richardmille.com/dispatch/the-brand)
18:06:10	120096/120096	---M--	200	added ('OK')	image/jpeg	etag:%22d99b05bd2e52ec521bec1d564eceaa22%22	https://media.richardmille.com/wp-content/uploads/2019/01/23172017/Historical-Models-cover.jpg	C:/Users/Ramod/Desktop/Scripts/RM/media.richardmille.com/wp-content/uploads/2019/01/23172017/Historical-Models-cover.jpg	(from https://www.richardmille.com/dispatch/the-brand)
18:06:10	49533/49533	---M--	200	added ('OK')	image/jpeg	etag:%22b67113e8eb40a17d01d105552295e10c%22	https://media.richardmille.com/wp-content/uploads/2019/01/23172028/footer-push-3.jpg	C:/Users/Ramod/Desktop/Scripts/RM/media.richardmille.com/wp-content/uploads/2019/01/23172028/footer-push-3.jpg	(from https://www.richardmille.com/dispatch/savoir-faire)
18:06:10	105766/105766	---M--	200	added ('OK')	image/jpeg	etag:%228f699842e0d2f0a54575e247807dcf80%22	https://media.richardmille.com/wp-content/uploads/2019/01/23172029/footer-push-e1559851110933.jpg	C:/Users/Ramod/Desktop/Scripts/RM/media.richardmille.com/wp-content/uploads/2019/01/23172029/footer-push-e1559851110933.jpg	(from https://www.richardmille.com/dispatch/savoir-faire)
18:06:10	163029/163029	---M--	200	added ('OK')	image/jpeg	etag:%220d50ffed917dc80124072089ff3747bc%22	https://media.richardmille.com/wp-content/uploads/2019/01/23172029/footer-push-2.jpg	C:/Users/Ramod/Desktop/Scripts/RM/media.richardmille.com/wp-content/uploads/2019/01/23172029/footer-push-2.jpg	(from https://www.richardmille.com/dispatch/savoir-faire)
18:06:11	78739/78739	---M--	200	added ('OK')	image/jpeg	etag:%22402f5af51db391133ed4199932af572b%22	https://media.richardmille.com/wp-content/uploads/2019/01/23172027/iso.jpg	C:/Users/Ramod/Desktop/Scripts/RM/media.richardmille.com/wp-content/uploads/2019/01/23172027/iso.jpg	(from https://www.richardmille.com/dispatch/savoir-faire)
18:06:11	77726/77726	---M--	200	added ('OK')	image/jpeg	etag:%2240b568e280a7a8a3c84a5b66cad34356%22	https://media.richardmille.com/wp-content/uploads/2019/01/23172029/footer-push-1.jpg	C:/Users/Ramod/Desktop/Scripts/RM/media.richardmille.com/wp-content/uploads/2019/01/23172029/footer-push-1.jpg	(from https://www.richardmille.com/dispatch/savoir-faire)
